@relation responses_discretized-weka.filters.unsupervised.attribute.Remove-R1

@attribute SalaryUSD {Low,'Very High',High,'Very Low',Mid}
@attribute Country {Sweden,USA,UK,Pakistan,Paraguay,India,Serbia-and-Montenegro,Germany,Canada,Dominican-Republic,Slovakia,Brazil,France,Poland,Romania,Ireland,South-Africa,Portugal,CostaRica,Israel,Argentina,Peru,Australia,Venezuela,Spain,Belgium,Malaysia,Netherlands,Russia,Italy,Finland,Turkey,Austria,New-Zealand,Honduras,UAE,Guernsey,Norway,Luxembourg,PuertoRico,Guatemala,Greece,Denmark,Lithuania,Ukraine,Philippines,Hungary,Estonia,Caymans,Croatia,Indonesia,Thailand,Switzerland,Slovenia,Bosnia,Cyprus,Bulgaria,Singapore,Colombia,Chile,Iceland,Macedonia,Jersey,Latvia,CzechRepublic,Mexico,Bangladesh,China,Iran,Qatar,Ecuador,Uruguay,SaudiArabia,Vanuatu,Taiwan,Maldives,Armenia,Swaziland,Georgia,HK,Syria,Bahrain,Moldova,Nicaragua,Jamaica,Malta,Jordan,Uganda,Belarus,Nepal,Ghana,ElSalvador,Albania,Bolivia,Vietnam,Bermuda,Kenya}
@attribute PrimaryDatabase {M,P,A,MA,O,MS,RDS,MDB,DB2,SQLI,C,SAP,T,E}
@attribute YearsWithThisDatabase numeric
@attribute EmploymentStatus {E,EC,IC,P,I}
@attribute JobTitle {D,DBAP,DBAG,M,DA,DT,A,DBAD,E,AN,DS,DBA,PDE,DO,T,DBS,C,SA,S,DBABI,SRC,AC}
@attribute ManageStaff {Y,N}
@attribute YearsWithThisTypeOfJob numeric
@attribute HowManyCompanies numeric
@attribute OtherPeopleOnYourTeam numeric
@attribute PopulationOfLargestCityWithin20Miles {t,m,C,c,T}
@attribute EmploymentSector {PB,E,SG,LG,NP,FG,S}
@attribute CareerPlansThisYear {S,C,SR,SE}
@attribute Gender {M,F,NB}
@attribute DatabaseServers numeric
@attribute Education {'Bachelors (4 years)','None (no degree completed)',Masters,'Associates (2 years)',Doctorate/PhD}
@attribute EducationIsComputerRelated {Yes,No}
@attribute Certifications {N,YesValid,YesExpired}
@attribute HoursWorkedPerWeek numeric
@attribute TelecommuteDaysPerWeek {zero,five,four,one,three,two}

@data
'Very High',USA,M,20,EC,DBAG,N,20,5,6,m,PB,C,F,?,?,?,?,?,?
Mid,Sweden,M,17,EC,DBAP,N,20,3,1,c,PB,S,M,?,?,?,?,?,?
Mid,USA,M,15,E,DBAP,N,15,2,1,m,E,S,M,?,?,?,?,?,?
Low,UK,M,15,E,A,Y,1,3,0,C,SG,S,M,?,?,?,?,?,?
Low,Sweden,M,13,E,DBAP,N,13,6,3,m,FG,C,M,?,?,?,?,?,?
Mid,USA,M,10,E,E,N,2,2,3,t,PB,?,F,?,?,?,?,?,?
'Very High',USA,M,18,E,DT,Y,7,2,0,m,PB,SR,M,?,?,?,?,?,?
Low,USA,M,14,E,DBAG,N,14,3,2,c,SG,S,M,?,?,?,?,?,?
'Very Low',Romania,M,8,E,DBAG,N,8,2,0,m,PB,C,M,?,?,?,?,?,?
'Very Low',Canada,M,2,E,DBAP,N,2,1,0,c,PB,S,M,?,?,?,?,?,?
'Very High',USA,M,20,E,E,N,27,1,6,c,PB,C,M,?,?,?,?,?,?
High,USA,M,5,E,DBAG,Y,15,1,1,c,PB,S,M,?,?,?,?,?,?
Low,USA,M,8,E,DT,N,6,2,1,m,PB,S,M,?,?,?,?,?,?
High,USA,MS,4,E,M,Y,8,1,0,c,PB,SE,?,?,?,?,?,?,?
'Very Low',UK,M,6,E,DBAG,N,3,1,0,c,LG,SR,M,?,?,?,?,?,?
Mid,USA,M,8,E,DBAG,N,4,1,4,m,PB,S,M,?,?,?,?,?,?
High,USA,M,7,E,DBAP,N,7,4,6,C,PB,SR,M,?,?,?,?,?,?
High,USA,M,10,E,E,N,5,3,2,C,NP,S,M,?,?,?,?,?,?
Low,Canada,M,18,E,DBAD,N,18,4,0,m,PB,S,M,?,?,?,?,?,?
'Very Low',Brazil,M,10,EC,DBAG,Y,10,5,6,C,PB,S,M,?,?,?,?,?,?
'Very High',USA,M,11,E,DBAG,N,8,3,0,m,PB,SR,M,?,?,?,?,?,?
'Very Low',France,P,1,E,E,N,3,3,4,C,PB,S,M,?,?,?,?,?,?
'Very High',USA,M,15,E,DBAP,N,15,4,1,t,PB,C,M,?,?,?,?,?,?
'Very Low',France,M,2,E,DBAP,N,2,1,1,c,PB,S,F,?,?,?,?,?,?
'Very High',USA,M,22,E,DBAG,N,18,1,2,C,PB,S,F,?,?,?,?,?,?
High,USA,M,8,E,DBAP,N,8,3,2,C,PB,S,M,?,?,?,?,?,?
'Very Low',Canada,M,8,E,DBAP,N,8,2,0,m,PB,SR,M,?,?,?,?,?,?
'Very Low',Sweden,M,3,E,DBAP,N,3,1,0,C,FG,S,M,?,?,?,?,?,?
'Very High',USA,M,20,E,DT,N,3,3,0,m,NP,C,M,?,?,?,?,?,?
'Very Low',USA,M,9,E,DBAG,N,7,2,2,C,PB,C,F,?,?,?,?,?,?
High,USA,M,12,E,DBAP,N,12,3,5,m,PB,S,M,?,?,?,?,?,?
High,USA,M,21,E,DBAG,N,20,4,3,C,PB,S,M,?,?,?,?,?,?
'Very Low',Mexico,M,6,E,DBAP,N,4,2,4,c,PB,SE,M,?,?,?,?,?,?
Mid,Canada,M,20,E,DBAP,N,4,2,6,m,PB,S,M,?,?,?,?,?,?
Low,USA,M,15,E,DBAP,N,9,1,0,c,PB,S,M,?,?,?,?,?,?
'Very High',USA,M,20,E,DBAP,N,30,6,4,m,PB,S,M,?,?,?,?,?,?
Mid,USA,M,7,E,DT,N,6,3,4,C,PB,S,M,?,?,?,?,?,?
High,USA,M,10,E,DBAG,Y,10,2,6,T,PB,SE,M,?,?,?,?,?,?
High,Australia,M,20,E,DBAP,Y,15,3,6,C,PB,S,M,?,?,?,?,?,?
'Very Low',USA,M,5,E,DBAG,N,5,2,1,C,PB,S,M,?,?,?,?,?,?
'Very Low',India,M,9,E,DBAP,Y,1,4,6,C,PB,SR,M,?,?,?,?,?,?
'Very High',USA,M,30,E,DBAG,Y,35,6,3,m,PB,S,M,?,?,?,?,?,?
Mid,France,M,12,EC,DBAP,N,12,6,3,m,PB,SR,M,?,?,?,?,?,?
Mid,Norway,M,1,E,DBAP,N,6,1,2,m,PB,S,M,?,?,?,?,?,?
'Very Low',Spain,P,10,E,DA,N,11,2,3,m,PB,S,M,?,?,?,?,?,?
'Very Low',Turkey,M,3,IC,DBAP,N,3,6,3,m,PB,S,M,?,?,?,?,?,?
Mid,UK,M,15,E,DBAP,Y,4,1,1,C,PB,S,M,?,?,?,?,?,?
'Very High',USA,A,20,E,A,N,7,3,6,C,PB,S,M,?,?,?,?,?,?
'Very High',USA,M,23,EC,DBAG,N,23,5,6,C,FG,S,M,?,?,?,?,?,?
Low,USA,M,10,E,DT,N,4,3,1,c,LG,SE,M,?,?,?,?,?,?
'Very Low',Mexico,M,6,E,DBAP,Y,1,2,4,C,PB,SE,M,?,?,?,?,?,?
High,USA,M,9,E,D,N,9,1,3,T,PB,S,F,?,?,?,?,?,?
Low,UK,M,12,E,DBAD,N,12,4,2,C,PB,S,M,?,?,?,?,?,?
High,USA,DB2,9,E,DBAD,Y,25,1,0,c,E,S,M,?,?,?,?,?,?
High,USA,M,8,E,AN,N,8,1,2,m,PB,S,M,?,?,?,?,?,?
Mid,USA,M,2,E,AN,N,2,1,0,m,LG,S,?,?,?,?,?,?,?
Low,USA,M,3,E,DT,N,3,2,0,t,E,SE,M,?,?,?,?,?,?
Mid,USA,M,10,E,DBAP,N,7,2,3,C,PB,S,M,?,?,?,?,?,?
'Very Low',UK,M,4,E,AN,N,4,2,6,T,PB,C,M,?,?,?,?,?,?
'Very Low',France,M,10,E,DBAG,Y,13,1,6,m,PB,SR,M,?,?,?,?,?,?
'Very High',USA,M,20,E,DBAP,Y,12,5,4,m,PB,SR,M,?,?,?,?,?,?
'Very Low',USA,M,2,E,DT,N,2,1,5,c,PB,?,M,?,?,?,?,?,?
High,USA,M,10,E,DBAP,N,10,2,0,m,PB,S,M,?,?,?,?,?,?
High,USA,M,11,E,DBAG,Y,11,1,0,m,PB,S,M,?,?,?,?,?,?
'Very High',USA,M,10,E,M,Y,16,4,0,C,PB,S,M,?,?,?,?,?,?
High,USA,M,7,E,DBAG,N,7,4,0,C,PB,C,M,?,?,?,?,?,?
High,USA,M,20,E,DBAG,N,20,6,0,C,PB,C,M,?,?,?,?,?,?
'Very Low',Mexico,MS,1,EC,DS,N,0,1,4,m,PB,SR,M,?,?,?,?,?,?
High,USA,M,24,E,DBAD,N,11,1,2,m,PB,S,M,?,?,?,?,?,?
'Very High',USA,O,7,EC,M,Y,7,2,4,m,PB,S,M,?,?,?,?,?,?
High,USA,M,3,E,DBAG,N,10,2,0,c,PB,S,M,?,?,?,?,?,?
'Very Low',Russia,M,12,E,DBAG,N,10,2,0,m,PB,SR,M,?,?,?,?,?,?
Mid,USA,M,6,E,DA,N,6,1,0,T,PB,S,M,?,?,?,?,?,?
High,USA,M,15,E,DT,N,11,3,0,C,PB,S,?,?,?,?,?,?,?
High,USA,M,13,E,E,Y,1,2,2,m,PB,S,M,?,?,?,?,?,?
Mid,USA,M,12,E,E,N,12,1,6,C,PB,S,M,?,?,?,?,?,?
'Very High',USA,M,21,E,DBAD,N,15,4,2,m,PB,S,M,?,?,?,?,?,?
High,USA,M,16,E,A,N,2,1,1,c,PB,S,M,?,?,?,?,?,?
Mid,USA,M,15,E,DT,N,5,2,0,C,PB,S,M,?,?,?,?,?,?
'Very High',USA,M,11,E,A,N,1,1,1,m,PB,S,F,?,?,?,?,?,?
'Very High',Switzerland,M,7,E,D,N,10,2,0,C,PB,SE,M,?,?,?,?,?,?
Low,Sweden,M,11,IC,DT,N,8,3,1,C,PB,S,M,?,?,?,?,?,?
Low,France,O,12,E,DBAP,N,11,3,1,m,PB,C,M,?,?,?,?,?,?
Low,Sweden,M,7,E,DBAG,Y,7,2,2,c,PB,S,M,?,?,?,?,?,?
Low,Canada,M,10,E,DBAG,N,5,1,0,m,PB,S,M,?,?,?,?,?,?
'Very High',Australia,M,12,E,DBAP,N,12,4,5,m,PB,S,M,?,?,?,?,?,?
'Very High',USA,M,14,E,DBAP,N,30,6,6,m,PB,S,M,?,?,?,?,?,?
Low,USA,M,8,E,DA,N,10,1,6,c,NP,SE,M,?,?,?,?,?,?
Low,Canada,M,5,E,DT,N,6,2,5,t,PB,SR,M,?,?,?,?,?,?
Low,USA,M,2,E,AN,N,2,1,0,T,PB,?,F,?,?,?,?,?,?
High,USA,M,7,E,DBAG,N,7,2,0,c,PB,S,M,?,?,?,?,?,?
'Very High',USA,M,12,EC,A,N,7,3,0,m,PB,C,M,?,?,?,?,?,?
'Very High',USA,M,22,E,DBAP,N,1,6,6,C,PB,S,M,?,?,?,?,?,?
Mid,USA,M,8,E,DA,N,4,4,2,c,PB,S,M,?,?,?,?,?,?
High,USA,MS,9,E,E,N,20,3,0,c,PB,SR,M,?,?,?,?,?,?
High,USA,M,5,E,M,Y,5,2,3,m,PB,?,M,?,?,?,?,?,?
Mid,USA,MA,25,E,DA,N,25,2,3,c,PB,S,F,?,?,?,?,?,?
Mid,USA,M,20,E,DT,N,20,3,3,C,SG,S,M,?,?,?,?,?,?
High,USA,M,5,E,DBAG,N,5,1,1,c,PB,S,M,?,?,?,?,?,?
High,USA,M,12,E,DBAG,Y,6,1,1,C,PB,S,M,?,?,?,?,?,?
Low,USA,M,4,E,AN,N,4,2,2,m,PB,C,M,?,?,?,?,?,?
Mid,Austria,M,10,E,DBAG,N,25,3,5,c,PB,S,?,?,?,?,?,?,?
'Very Low',Romania,M,8,EC,D,N,5,1,5,T,PB,C,M,?,?,?,?,?,?
'Very High',Ireland,M,10,E,DBAG,N,10,2,2,m,PB,S,M,?,?,?,?,?,?
'Very Low',Sweden,M,6,E,DA,N,6,2,2,t,PB,SR,M,?,?,?,?,?,?
Low,Netherlands,A,1,E,DS,N,4,2,1,C,SG,S,F,?,?,?,?,?,?
Mid,USA,M,2,E,DT,N,2,1,0,T,NP,SE,M,?,?,?,?,?,?
Mid,USA,M,7,E,DBAP,N,7,1,0,c,PB,S,M,?,?,?,?,?,?
Low,Sweden,M,15,E,DT,N,8,3,0,m,PB,S,M,?,?,?,?,?,?
High,USA,M,9,E,DBAP,N,3,3,1,C,PB,S,M,?,?,?,?,?,?
'Very High',Australia,M,10,E,DBAG,N,7,3,2,c,PB,C,M,?,?,?,?,?,?
High,USA,M,20,E,A,N,17,2,6,t,FG,S,M,?,?,?,?,?,?
High,USA,M,20,E,A,N,17,2,6,t,FG,S,M,?,?,?,?,?,?
High,USA,M,20,E,A,N,17,2,6,t,FG,S,M,?,?,?,?,?,?
High,USA,M,20,E,DT,N,20,4,2,m,PB,S,M,?,?,?,?,?,?
Mid,South-Africa,M,23,E,DT,N,23,5,2,m,PB,S,M,?,?,?,?,?,?
'Very High',USA,M,29,E,DA,N,31,6,2,T,PB,?,M,?,?,?,?,?,?
High,USA,M,13,E,DBAG,N,17,3,0,c,PB,S,M,?,?,?,?,?,?
'Very High',USA,M,20,E,A,N,15,1,4,m,PB,S,M,?,?,?,?,?,?
High,USA,M,10,E,DBAD,N,10,1,3,m,PB,S,M,?,?,?,?,?,?
'Very High',USA,M,8,E,E,N,8,1,4,m,PB,?,M,?,?,?,?,?,?
Mid,USA,M,10,E,DBAP,N,10,1,6,T,PB,S,M,?,?,?,?,?,?
'Very Low',UK,M,4,E,DT,N,4,2,1,m,SG,S,M,?,?,?,?,?,?
Mid,USA,M,22,E,E,N,1,1,0,T,NP,S,M,?,?,?,?,?,?
High,USA,M,15,E,DBAD,N,20,4,1,c,PB,S,M,?,?,?,?,?,?
'Very High',USA,M,20,E,DS,Y,6,2,0,C,PB,SR,M,?,?,?,?,?,?
'Very Low',Latvia,M,1,E,DT,N,1,2,1,C,PB,S,M,?,?,?,?,?,?
'Very High',USA,M,18,E,DA,N,18,1,1,c,FG,S,M,?,?,?,?,?,?
High,USA,M,6,E,M,Y,5,1,0,C,PB,S,M,?,?,?,?,?,?
'Very High',USA,M,11,E,DBAP,N,11,5,6,C,PB,S,M,?,?,?,?,?,?
High,Germany,M,10,E,DBAP,N,10,1,1,m,PB,S,M,?,?,?,?,?,?
High,USA,M,18,E,DT,N,16,3,5,T,PB,?,M,?,?,?,?,?,?
'Very High',USA,M,10,E,DBAG,N,20,4,1,m,PB,S,F,?,?,?,?,?,?
Low,Germany,M,6,EC,?,N,1,1,6,C,PB,S,M,?,?,?,?,?,?
Low,USA,M,6,E,DBAG,N,5,2,0,T,PB,S,M,?,?,?,?,?,?
Mid,USA,M,10,E,DBAG,N,5,1,0,t,LG,S,M,?,?,?,?,?,?
High,USA,M,9,E,DT,N,1,1,1,m,PB,?,?,?,?,?,?,?,?
'Very High',UK,?,13,EC,E,Y,10,2,1,m,PB,S,M,?,?,?,?,?,?
'Very Low',Norway,M,20,E,?,Y,4,1,2,C,PB,S,M,?,?,?,?,?,?
Low,Germany,MDB,3,E,D,N,5,1,0,m,PB,C,M,?,?,?,?,?,?
Mid,Ireland,M,15,E,DBAG,N,2,2,0,t,PB,S,M,?,?,?,?,?,?
'Very High',USA,M,14,EC,D,N,20,3,0,m,PB,S,M,?,?,?,?,?,?
'Very Low',Canada,M,2,E,DBAD,N,2,1,0,C,PB,S,M,?,?,?,?,?,?
Mid,USA,M,25,E,DT,N,25,4,6,T,PB,S,F,?,?,?,?,?,?
High,USA,M,6,E,DBAP,N,5,1,4,m,PB,S,M,?,?,?,?,?,?
'Very High',Israel,M,10,E,E,N,1,5,2,c,PB,S,M,?,?,?,?,?,?
'Very High',Israel,M,10,E,E,N,1,5,2,c,PB,S,M,?,?,?,?,?,?
Mid,USA,O,3,E,DBAG,N,6,1,4,c,PB,S,M,?,?,?,?,?,?
Mid,USA,M,13,EC,DT,N,13,5,2,m,PB,SE,M,?,?,?,?,?,?
'Very High',USA,M,13,E,A,N,13,2,2,m,PB,SE,M,?,?,?,?,?,?
Low,Mexico,M,14,E,DBAP,N,12,5,6,m,PB,S,M,?,?,?,?,?,?
Low,USA,M,8,E,DA,N,8,1,1,c,PB,S,M,?,?,?,?,?,?
Mid,Norway,A,2,EC,DT,N,9,1,2,c,PB,C,M,?,?,?,?,?,?
High,Iceland,M,22,E,A,N,21,3,0,c,PB,S,M,?,?,?,?,?,?
'Very High',Spain,M,11,IC,A,Y,2,3,0,c,PB,S,M,?,?,?,?,?,?
'Very Low',Sweden,M,10,EC,DBAP,N,5,2,4,c,PB,SR,M,?,?,?,?,?,?
Mid,USA,M,20,E,DBAG,N,27,3,1,C,PB,S,M,?,?,?,?,?,?
'Very High',USA,M,15,E,DT,N,7,1,0,m,PB,SR,M,?,?,?,?,?,?
'Very High',USA,A,3,E,DBAG,N,10,3,0,C,PB,S,M,?,?,?,?,?,?
'Very High',USA,M,21,E,M,Y,21,3,6,C,PB,S,M,?,?,?,?,?,?
'Very Low',UK,M,2,E,DBAG,Y,12,1,5,c,SG,S,M,?,?,?,?,?,?
'Very Low',India,M,11,E,AN,N,11,1,3,c,PB,SE,?,?,?,?,?,?,?
'Very Low',India,M,4,E,DBAP,N,1,2,6,m,PB,C,M,?,?,?,?,?,?
'Very Low',Belgium,A,4,EC,M,Y,6,1,6,C,PB,SE,M,?,?,?,?,?,?
Mid,USA,M,15,E,DBAP,N,9,4,0,C,SG,S,M,?,?,?,?,?,?
High,USA,M,10,E,M,Y,10,1,1,c,PB,S,M,?,?,?,?,?,?
'Very High',USA,M,8,E,DBAG,N,8,4,0,m,PB,S,M,?,?,?,?,?,?
Low,Germany,M,6,E,AN,Y,6,1,1,c,PB,S,M,?,?,?,?,?,?
'Very Low',UK,M,5,E,DBAP,N,5,2,1,c,PB,S,M,?,?,?,?,?,?
High,USA,O,9,E,DBAD,N,9,4,5,C,PB,S,M,?,?,?,?,?,?
Mid,USA,M,10,E,DBAP,N,10,2,6,m,PB,SR,M,?,?,?,?,?,?
High,USA,M,13,E,DBAG,N,13,6,2,c,PB,S,M,?,?,?,?,?,?
Low,Iceland,M,15,E,D,N,15,3,0,c,PB,S,M,?,?,?,?,?,?
Low,UK,M,20,E,DBAD,N,18,3,0,c,PB,S,M,?,?,?,?,?,?
Mid,USA,M,14,E,DBAP,N,14,1,0,c,E,S,M,?,?,?,?,?,?
'Very Low',India,A,3,E,A,Y,15,2,2,m,PB,C,M,?,?,?,?,?,?
Low,UK,M,15,E,DBAG,N,2,3,1,C,PB,S,F,?,?,?,?,?,?
Low,Sweden,M,13,E,DBAG,N,13,5,0,C,FG,S,M,?,?,?,?,?,?
Mid,Netherlands,M,18,E,DBAG,N,5,5,1,C,PB,SE,M,?,?,?,?,?,?
High,USA,M,20,E,DBAP,N,20,5,4,c,NP,SR,M,?,?,?,?,?,?
Mid,USA,M,20,E,DBAG,N,12,2,0,c,E,S,M,?,?,?,?,?,?
Mid,USA,M,8,E,AN,N,12,2,1,m,NP,S,M,?,?,?,?,?,?
Low,USA,M,12,E,DBAG,N,5,1,6,c,PB,S,M,?,?,?,?,?,?
'Very High',USA,M,20,EC,DBAP,N,20,6,6,m,PB,S,F,?,?,?,?,?,?
Mid,USA,M,3,E,?,Y,2,1,0,c,PB,S,M,?,?,?,?,?,?
Mid,USA,M,2,E,DBAP,N,2,1,4,m,PB,S,F,?,?,?,?,?,?
Low,Romania,M,15,E,DBAG,N,15,5,0,C,PB,?,M,?,?,?,?,?,?
Mid,USA,M,8,E,DBAG,N,8,2,5,c,PB,S,M,?,?,?,?,?,?
'Very Low',USA,MS,3,E,M,N,3,1,0,C,PB,S,M,?,?,?,?,?,?
'Very High',USA,M,20,E,DBAG,Y,10,2,1,m,PB,S,M,?,?,?,?,?,?
Mid,Ireland,M,16,E,DBAP,N,4,6,6,c,PB,S,F,?,?,?,?,?,?
High,USA,M,23,E,DBAD,N,3,3,5,c,PB,S,F,?,?,?,?,?,?
Low,USA,M,8,E,DBAG,N,8,2,3,C,PB,SE,M,?,?,?,?,?,?
High,USA,M,20,E,E,N,15,6,1,c,PB,S,M,?,?,?,?,?,?
High,USA,M,20,E,DBAG,N,12,3,1,C,PB,S,M,?,?,?,?,?,?
High,USA,M,18,E,DBAP,N,20,2,1,m,E,SR,F,?,?,?,?,?,?
'Very High',USA,MS,2,EC,DA,N,5,2,0,C,FG,C,F,?,?,?,?,?,?
High,USA,A,4,E,DS,N,4,1,1,c,PB,S,NB,?,?,?,?,?,?
'Very High',USA,M,20,EC,DBAD,N,12,2,3,c,PB,S,M,?,?,?,?,?,?
Low,Sweden,M,30,E,DT,Y,2,6,0,c,PB,S,M,?,?,?,?,?,?
'Very Low',Sweden,M,9,E,DBAP,N,8,1,3,t,SG,S,M,?,?,?,?,?,?
'Very Low',India,M,12,EC,DBAG,Y,12,4,6,m,PB,C,M,?,?,?,?,?,?
'Very Low',Romania,M,10,E,DT,N,3,2,4,C,PB,S,F,?,?,?,?,?,?
'Very High',USA,M,8,E,D,N,2,3,2,m,NP,S,M,?,?,?,?,?,?
'Very High',USA,M,10,E,DBAG,N,15,2,0,m,PB,SE,M,?,?,?,?,?,?
'Very High',USA,M,11,E,DBAG,N,8,2,1,m,PB,SR,M,?,?,?,?,?,?
'Very High',USA,M,10,E,DA,Y,10,4,5,C,PB,SR,M,?,?,?,?,?,?
High,New-Zealand,M,25,E,E,N,30,2,6,c,PB,S,M,?,?,?,?,?,?
'Very High',USA,M,12,E,E,N,14,6,2,m,PB,?,F,?,?,?,?,?,?
Low,Canada,M,9,E,DBAG,N,9,1,6,c,PB,SE,M,?,?,?,?,?,?
'Very High',USA,M,17,E,A,N,5,3,2,C,PB,SE,M,?,?,?,?,?,?
'Very Low',India,M,10,E,D,Y,10,4,4,m,PB,C,M,?,?,?,?,?,?
Low,USA,M,10,E,DBAG,N,7,1,3,C,E,SE,M,?,?,?,?,?,?
'Very Low',India,M,10,E,D,Y,10,4,4,m,PB,C,M,?,?,?,?,?,?
Mid,USA,M,5,E,DT,N,5,2,2,C,PB,S,M,?,?,?,?,?,?
Low,Netherlands,M,10,E,E,Y,10,3,4,c,LG,C,M,?,?,?,?,?,?
'Very High',USA,M,10,E,DBAG,N,6,3,4,m,PB,S,M,?,?,?,?,?,?
'Very High',USA,M,15,E,DBAG,N,15,4,2,c,PB,?,M,?,?,?,?,?,?
Low,Greece,M,20,E,E,Y,21,5,4,m,PB,?,M,?,?,?,?,?,?
High,USA,M,19,E,E,N,19,3,3,c,PB,S,M,?,?,?,?,?,?
'Very High',USA,M,12,E,DBAG,N,12,3,4,m,PB,SE,M,?,?,?,?,?,?
'Very High',USA,M,15,E,DT,N,15,2,4,m,PB,S,M,?,?,?,?,?,?
High,UK,M,21,E,DBAP,N,21,6,4,m,PB,S,M,?,?,?,?,?,?
'Very Low',Bangladesh,M,10,E,DBAD,Y,9,1,0,m,PB,C,M,?,?,?,?,?,?
'Very High',USA,M,20,E,A,Y,18,2,0,c,PB,S,M,?,?,?,?,?,?
High,Australia,M,21,E,A,Y,5,2,0,m,NP,?,M,?,?,?,?,?,?
Mid,USA,M,4,E,DBAP,N,4,2,6,c,SG,S,F,?,?,?,?,?,?
'Very High',USA,M,17,E,DBAD,N,6,4,6,m,PB,S,F,?,?,?,?,?,?
'Very High',USA,M,15,E,DBAG,N,15,2,1,m,PB,C,M,?,?,?,?,?,?
'Very High',USA,M,15,E,A,N,20,3,0,m,PB,S,M,?,?,?,?,?,?
'Very High',USA,A,4,E,E,N,8,2,0,m,PB,SE,M,?,?,?,?,?,?
Low,UK,M,10,E,M,Y,4,1,0,c,PB,SE,M,?,?,?,?,?,?
Mid,Canada,M,20,E,DBAD,Y,10,4,0,C,PB,SE,M,?,?,?,?,?,?
'Very Low',UK,M,6,E,DBAP,N,6,1,1,T,FG,SR,?,?,?,?,?,?,?
'Very High',USA,P,4,E,E,N,10,4,1,m,PB,S,M,?,?,?,?,?,?
'Very Low',Argentina,M,15,E,A,N,15,2,2,m,PB,SE,M,?,?,?,?,?,?
'Very High',USA,M,20,E,DBAG,N,20,6,4,C,PB,S,M,?,?,?,?,?,?
Mid,USA,M,9,EC,DBAP,N,9,1,6,C,PB,S,M,?,?,?,?,?,?
High,USA,RDS,2,E,E,N,14,1,3,C,PB,?,M,?,?,?,?,?,?
'Very Low',UK,M,10,E,DBAG,Y,3,1,1,C,E,S,F,?,?,?,?,?,?
'Very High',USA,M,18,E,M,Y,10,2,0,C,PB,C,M,?,?,?,?,?,?
Low,Norway,M,3,E,DBAD,N,1,2,0,C,PB,S,M,?,?,?,?,?,?
Mid,USA,M,12,E,E,N,12,3,2,C,LG,S,M,?,?,?,?,?,?
High,USA,M,20,E,D,N,20,5,1,c,PB,S,M,?,?,?,?,?,?
'Very High',USA,M,15,E,A,N,20,3,0,m,NP,S,M,?,?,?,?,?,?
Low,Canada,M,15,E,DBAP,N,10,1,0,c,PB,SE,F,?,?,?,?,?,?
Mid,USA,M,10,E,D,N,6,3,0,C,E,SR,M,?,?,?,?,?,?
'Very High',USA,M,10,E,A,N,1,1,0,C,PB,S,M,?,?,?,?,?,?
Mid,USA,M,7,E,A,N,7,1,1,T,NP,S,M,?,?,?,?,?,?
'Very Low',Romania,M,8,EC,D,N,1,1,4,m,PB,S,M,?,?,?,?,?,?
Mid,USA,M,1,E,DT,N,1,1,1,C,PB,S,M,?,?,?,?,?,?
'Very Low',Poland,M,6,IC,E,Y,11,6,3,C,PB,S,M,?,?,?,?,?,?
'Very High',USA,M,25,EC,E,N,9,5,2,C,PB,S,M,?,?,?,?,?,?
High,USA,M,15,E,M,Y,6,2,0,c,E,SE,M,?,?,?,?,?,?
'Very High',USA,M,20,E,DBAP,N,13,6,0,m,PB,C,F,?,?,?,?,?,?
Mid,USA,M,15,E,DT,N,15,4,0,m,PB,C,M,?,?,?,?,?,?
'Very Low',India,M,1,E,E,N,2,1,5,m,PB,C,M,?,?,?,?,?,?
'Very High',USA,M,20,E,DT,N,20,4,1,m,PB,S,F,?,?,?,?,?,?
Mid,USA,M,7,E,DBAP,N,7,1,2,T,SG,?,F,?,?,?,?,?,?
Low,China,M,17,E,DBAP,N,15,2,0,m,PB,S,M,?,?,?,?,?,?
High,USA,M,8,E,DBAG,N,10,1,2,m,PB,S,M,?,?,?,?,?,?
'Very Low',Iran,M,6,E,DBAD,N,6,1,0,m,PB,S,M,?,?,?,?,?,?
High,Denmark,M,15,E,E,N,5,1,6,m,PB,?,M,?,?,?,?,?,?
'Very High',USA,M,12,E,A,N,4,4,4,C,PB,S,M,?,?,?,?,?,?
'Very Low',India,M,5,E,DBAP,N,5,2,6,t,NP,C,M,?,?,?,?,?,?
'Very High',Ireland,M,20,E,DT,Y,20,3,0,C,PB,S,M,?,?,?,?,?,?
Mid,Norway,M,14,E,DT,N,14,1,6,T,PB,S,M,?,?,?,?,?,?
Low,UK,M,15,E,DBAP,N,15,5,6,C,PB,SE,M,?,?,?,?,?,?
High,USA,M,12,E,DBAG,N,1,3,0,m,PB,SR,M,?,?,?,?,?,?
High,USA,M,10,E,DBAG,N,7,2,0,C,PB,C,M,?,?,?,?,?,?
Mid,USA,M,15,E,AN,Y,20,1,0,m,PB,SR,M,?,?,?,?,?,?
Low,USA,M,2,E,AN,N,2,2,2,m,FG,S,M,?,?,?,?,?,?
'Very Low',Brazil,M,20,E,DBAG,Y,20,6,3,m,PB,S,M,?,?,?,?,?,?
Low,Bulgaria,M,15,E,DBAG,Y,15,3,1,m,PB,?,M,?,?,?,?,?,?
'Very High',USA,M,18,E,DBAP,N,18,3,0,c,PB,S,F,?,?,?,?,?,?
High,USA,M,18,E,M,Y,4,2,0,C,PB,C,F,?,?,?,?,?,?
